Round,Nickname,ELO
1,Adu_na,1475
1,Axaeny,1533
1,Bluearchive_Arisu,1526
1,NoC_l,1475
1,box_0927,1476
1,dudu33881,1475
1,gukbab2,1534
1,jmp6542,1528
1,kevincyo_0808,1475
1,river091211070822,1530
2,Adu_na,1450
2,Axaeny,1509
2,Bluearchive_Arisu,1501
2,NoC_l,1450
2,box_0927,1452
2,dudu33881,1506
2,gukbab2,1566
2,jmp6542,1562
2,jupertvjuper,1529
2,river091211070822,1559
3,Adu_na,1426
3,Axaeny,1544
3,Bluearchive_Arisu,1476
3,NoC_l,1478
3,box_0927,1483
3,dudu33881,1482
3,gukbab2,1542
3,jmp6542,1538
3,jupertvjuper,1562
3,river091211070822,1588
4,Adu_na,1401
4,Axaeny,1520
4,NoC_l,1506
4,box_0927,1517
4,dudu33881,1511
4,gukbab2,1518
4,jmp6542,1570
4,jupertvjuper,1537
4,kevincyo_0808,1505
4,river091211070822,1563
5,Adu_na,1430
5,NoC_l,1481
5,Outpostk,1475
5,box_0927,1548
5,gukbab2,1555
5,haheaq,1475
5,jupertvjuper,1568
5,mason1772mm,1477
5,qazx3eg_iazwfjmiagj,1533
5,river091211070822,1539
6,Adu_na,1405
6,NoC_l,1456
6,Outpostk,1507
6,box_0927,1525
6,gukbab2,1531
6,haheaq,1506
6,jupertvjuper,1597
6,mason1772mm,1511
6,qazx3eg_iazwfjmiagj,1565
6,river0912110708,1475
7,Adu_na,1386
7,NoC_l,1437
7,Outpostk,1537
7,box_0927,1550
7,gukbab2,1558
7,haheaq,1538
7,jupertvjuper,1573
7,mason1772mm,1487
7,qazx3eg_iazwfjmiagj,1595
7,river0912110708,1450
8,Adu_na,1408
8,NoC_l,1419
8,Outpostk,1512
8,box_0927,1575
8,gukbab2,1588
8,haheaq,1513
8,jupertvjuper,1598
8,mason1772mm,1464
8,qazx3eg_iazwfjmiagj,1628
8,river0912110708,1426
9,Adu_na,1390
9,LYCORIS_Takina,1534
9,NoC_l,1443
9,PizzaO_U,1475
9,box_0927,1558
9,gukbab2,1614
9,haheaq,1546
9,mason1772mm,1440
9,qazx3eg_iazwfjmiagj,1604
9,river0912110708,1457
10,Adu_na,1413
10,Axaeny,1496
10,LYCORIS_Takina,1567
10,NoC_l,1426
10,PizzaO_U,1451
10,box_0927,1542
10,gukbab2,1599
10,haheaq,1573
10,jupertvjuper,1623
10,mason1772mm,1478
11,Adu_na,1435
11,Axaeny,1472
11,LYCORIS_Takina,1602
11,NoC_l,1447
11,PizzaO_U,1427
11,box_0927,1566
11,gukbab2,1583
11,jupertvjuper,1606
11,mason1772mm,1505
11,river091211070822,1515
12,Adu_na,1419
12,Axaeny,1501
12,Rlasx_o,1529
12,Sans_Muter,1475
12,box_0927,1592
12,dot1com,1535
12,gukbab2,1568
12,haheaq,1602
12,jmp6542,1547
12,qazx3eg_iazwfjmiagj,1580
13,Adu_na,1403
13,Axaeny,1483
13,Rlasx_o,1556
13,Sans_Muter,1500
13,box_0927,1616
13,dot1com,1510
13,gukbab2,1596
13,haheaq,1584
13,jmp6542,1578
13,qazx3eg_iazwfjmiagj,1562
14,Axaeny,1508
14,Goyu92,1475
14,NoC_l,1465
14,Rlasx_o,1532
14,TowerOfHell_3201,1528
14,gukbab2,1618
14,jmp6542,1604
14,mason1772mm,1488
14,padosol,1475
14,sy5254,1476
15,Axaeny,1491
15,Goyu92,1450
15,NoC_l,1449
15,Rlasx_o,1563
15,TowerOfHell_3201,1503
15,gukbab2,1642
15,jmp6542,1633
15,mason1772mm,1517
15,padosol,1450
15,sy5254,1508
16,Axaeny,1515
16,TowerOfHell_3201,1478
16,bond0822,1475
16,gukbab2,1629
16,jmp6542,1616
16,jupertvjuper,1628
16,padosol,1479
16,sy5254,1540
17,Axaeny,1542
17,TowerOfHell_3201,1510
17,bond0822,1506
17,gukbab2,1617
17,jmp6542,1600
17,jupertvjuper,1650
17,padosol,1454
17,sy5254,1515
18,Axaeny,1566
18,Bluearchive_Arisu,1451
18,LYCORIS_Takina,1634
18,TOM245111,1475
18,chunk9_2,1527
18,gukbab2,1604
18,jmp6542,1584
18,sy5254,1547
19,Axaeny,1591
19,Breadu_gold,1528
19,Goyu92,1425
19,KD_Izuna,1530
19,LYCORIS_Takina,1609
19,box_0927,1638
19,gukbab2,1625
19,pailoder,1475
19,player_operlation,1475
19,sy5254,1523
20,Axaeny,1613
20,Breadu_gold,1503
20,LYCORIS_Takina,1584
20,box_0927,1659
20,gukbab2,1649
20,jmp6542,1568
20,mason1772mm,1543
20,pailoder,1450
20,player_operlation,1450
20,sy5254,1546
21,Bluearchive_Arisu,1480
21,Breadu_gold,1531
21,gukbab2,1671
21,jmp6542,1589
21,jupertvjuper,1634
21,mason1772mm,1527
21,player_operlation,1425
21,sy5254,1528
22,Axaeny,1634
22,Breadu_gold,1506
22,LYCORIS_Takina,1566
22,Monday_0907,1533
22,andlecraft,1527
22,gukbab2,1691
22,jupertvjuper,1619
22,minjae65412,1475
22,suturben,1475
22,sy5254,1554
23,Axaeny,1622
23,Breadu_gold,1534
23,LYCORIS_Takina,1549
23,Monday_0907,1509
23,West_Six,1475
23,gukbab2,1716
23,jupertvjuper,1642
23,minjae65412,1451
23,suturben,1503
23,sy5254,1579
24,Axaeny,1609
24,Bluearchive_Arisu,1506
24,Monday_0907,1540
24,S1_7sConfLit,1475
24,gukbab2,1735
24,jmp6542,1609
24,player_operlation,1400
24,sy5254,1563
25,Axaeny,1630
25,Bluearchive_Arisu,1487
25,Monday_0907,1570
25,gukbab2,1724
25,jmp6542,1595
25,mason1772mm,1554
25,player_operlation,1430
25,sy5254,1547
26,Axaeny,1618
26,Bluearchive_Arisu,1508
26,Monday_0907,1603
26,S1_7sConfLit,1450
26,gukbab2,1743
26,mason1772mm,1539
26,player_operlation,1405
26,sy5254,1567
27,Bluearchive_Arisu,1530
27,S1_7sConfLit,1479
27,gukbab2,1734
27,jupertvjuper,1628
27,mason1772mm,1562
27,player_operlation,1427
27,sy5254,1552
27,ww12_qwer,1474
28,Archyaki,1527
28,Monday_0907,1578
28,NV_Hyun,1527
28,NV_Sidereal,1526
28,Rlasx_o,1590
28,jmp6542,1581
28,pp0403,1475
28,sy5254,1537
29,Archyaki,1559
29,Monday_0907,1560
29,NV_Hyun,1556
29,NV_Sidereal,1554
29,Rlasx_o,1619
29,jmp6542,1567
29,pp0403,1450
29,sy5254,1523
30,Archyaki,1592
30,Monday_0907,1542
30,NV_Hyun,1587
30,NV_Sidereal,1584
30,Rlasx_o,1640
30,jmp6542,1554
30,pp0403,1425
30,sy5254,1509
31,Axaeny,1638
31,Breadu_gold,1560
31,Monday_0907,1567
31,andlecraft,1502
31,gukbab2,1724
31,jmp6542,1542
31,jupertvjuper,1650
31,sy5254,1496
32,Breadu_gold,1541
32,Monday_0907,1551
32,gukbab2,1741
32,jmp6542,1530
32,jupertvjuper,1667
32,sy5254,1513
33,Axaeny,1627
33,Breadu_gold,1522
33,LYCORIS_Takina,1571
33,Monday_0907,1536
33,amejingfrog,1528
33,gukbab2,1761
33,player_operlation,1408
33,sy5254,1533
34,0z139,1529
34,Axaeny,1615
34,Goyu92,1400
34,Monday_0907,1559
34,amejingfrog,1555
34,gukbab2,1783
34,player_operlation,1390
34,sy5254,1521
35,Axaeny,1633
35,Goyu92,1431
35,Y_ee111,1524
35,gukbab2,1774
35,jupertvjuper,1654
35,mason1772mm,1586
35,player_operlation,1373
35,sy5254,1509
36,Axaeny,1654
36,Goyu92,1406
36,Y_ee111,1552
36,gukbab2,1765
36,jupertvjuper,1641
36,mason1772mm,1608
36,player_operlation,1397
36,sy5254,1498
37,Goyu92,1386
37,Monday_0907,1544
37,S1_7sConfLit,1506
37,gukbab2,1780
37,jupertvjuper,1629
37,mason1772mm,1595
37,padosol,1481
37,sy5254,1513
38,Monday_0907,1565
38,S1_7sConfLit,1481
38,gukbab2,1796
38,jupertvjuper,1648
38,padosol,1456
38,sy5254,1502
39,Monday_0907,1584
39,S1_7sConfLit,1456
39,gukbab2,1809
39,jupertvjuper,1666
39,padosol,1437
39,sy5254,1492
40,Monday_0907,1605
40,S1_7sConfLit,1437
40,gukbab2,1829
40,padosol,1418
40,sy5254,1481
41,Axaeny,1644
41,Monday_0907,1629
41,NSR_Scott,1530
41,Y_ee111,1577
41,ahsb37,1475
41,hanjo101,1475
41,jupertvjuper,1682
41,mason1772mm,1583
41,sy5254,1499
41,ytuuews,1475
42,Axaeny,1663
42,Monday_0907,1616
42,NSR_Scott,1506
42,Vir_Spica,1527
42,Y_ee111,1552
42,ahsb37,1450
42,hanjo101,1504
42,mason1772mm,1610
42,sy5254,1489
42,ytuuews,1501
43,Axaeny,1654
43,Monday_0907,1641
43,NSR_Scott,1537
43,Vir_Spica,1503
43,Y_ee111,1580
43,ahsb37,1475
43,hanjo101,1479
43,jmp6542,1549
43,mason1772mm,1601
43,ytuuews,1476
44,LYCORIS_Takina,1555
44,Re_9LEAVER,1528
44,S1_7sConfLit,1460
44,padosol,1441
44,sy5254,1479
44,tony1_021,1475
45,LYCORIS_Takina,1576
45,Re_9LEAVER,1503
45,jupertvjuper,1671
45,padosol,1424
45,sy5254,1494
45,tony1_021,1504
46,Archyaki,1568
46,Bluearchive_Arisu,1513
46,LYCORIS_Takina,1602
46,Monday_0907,1663
